dataset,language,sent_id,dependency_distance
human,en,en-human-0000048,4
human,en,en-human-0000048,2
human,en,en-human-0000048,6
human,en,en-human-0000048,5
human,en,en-human-0000048,2
human,en,en-human-0000048,2
human,en,en-human-0000048,1
human,en,en-human-0000048,12
human,en,en-human-0000049,2
human,en,en-human-0000049,1
human,en,en-human-0000050,2
human,en,en-human-0000050,1
human,en,en-human-0000050,1
human,en,en-human-0000050,2
human,en,en-human-0000050,1
human,en,en-human-0000050,2
human,en,en-human-0000050,1
human,en,en-human-0000050,6
human,en,en-human-0000050,1
human,en,en-human-0000050,4
human,en,en-human-0000050,3
human,en,en-human-0000050,2
human,en,en-human-0000050,1
human,en,en-human-0000050,12
human,en,en-human-0000051,10
human,en,en-human-0000051,1
human,en,en-human-0000051,8
human,en,en-human-0000051,1
human,en,en-human-0000051,5
human,en,en-human-0000051,4
human,en,en-human-0000051,2
human,en,en-human-0000051,1
human,en,en-human-0000051,6
human,en,en-human-0000051,7
human,en,en-human-0000051,2
human,en,en-human-0000051,1
human,en,en-human-0000051,3
human,en,en-human-0000051,2
human,en,en-human-0000051,1
human,en,en-human-0000051,1
human,en,en-human-0000051,2
human,en,en-human-0000051,1
human,en,en-human-0000051,6
human,en,en-human-0000051,5
human,en,en-human-0000051,4
human,en,en-human-0000051,3
human,en,en-human-0000051,2
human,en,en-human-0000051,1
human,en,en-human-0000051,11
human,en,en-human-0000051,1
